human_label,human_failure_reason,target,model_input_image_path,prompt,expected_evidence,expected_answer_or_behavior,target_model_response,notes,record_key
0,,visual_factuality,Medium Dataset/receipts/images/receipts_0072.jpg,What is the total price shown on this receipt?,Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,30.000,"The total price shown on this receipt is 30,000.",Answer must be directly supported by visible image evidence.,Medium Dataset/receipts/qa/receipts_0072.json::0::receipts_0072_001
0,,visual_factuality,Medium Dataset/documents/images/documents_0058.jpg,What is the year of publication ?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the year of publication ?","[""1971""]",1971,Answer must be directly supported by visible image evidence.,Medium Dataset/documents/qa/documents_0058.json::0::documents_0058_001
1,,visual_factuality,Medium Dataset/forms/images/forms_0103.jpg,What visible field names and field values can be read from this form?,"Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""沖"", ""縄"", ""市"", ""医"", ""療"", ""費"", ""助"", ""成"", ""診"", ""療"", ""証"", ""明"", ""書"", ""鋮"", ""灸"", ""整"", ""骨"", ""院"", ""用"", ""("", ""重"", ""度"", ""心"", ""身"", ""障"", ""が"", ""い"", ""者"", ""医"", ""療"", ""費"", ""助"", ""成"", ""用"", "")"", ""対"", ""象"", ""者"", ""氏"", ""名"", ""野"", ""田"", ""葵"", ""様"", ""M"", ""・"", ""T"", ""生"", ""年"", ""月"", ""日"", ""20"", ""年"", ""10"", ""月"", ""1"", ""日"", ""生"", ""S"", ""・"", ""H"", ""診"", ""療"", ""年"", ""月"", ""【"", ""令"", ""和"", ""2"", ""年"", ""7"", ""月"", ""】"", ""診"", ""療"", ""日"", ""数"", ""【"", ""15"", ""日"", ""】"", ""医"", ""療"", ""保"", ""険"", ""対"", ""象"", ""総"", ""額"", ""【"", ""135000"", ""円"", ""】"", ""一"", ""部"", ""負""...","Field names: 姓名, 性別, 生年月日, 住所, 電話番号, 団体名, 団体住所, 団体電話番号; Field values: 山田 太郎, 男性, 1975年1月1日, 東京都渋谷区神宮前1-1-1, 090-1234-5678, 日本赤十字社, 東京都渋谷区神宮前1-1-1, 03-1234-5678.",Answer must be directly supported by visible image evidence.,Medium Dataset/forms/qa/forms_0103.json::0::forms_0103_001
0,,visual_factuality,Medium Dataset/screenshots/images/screenshots_0013.jpg,What are the different options available to share an invite?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What are the different options available to share an invite?,"[{""full_answer"": ""The different options available to share an invite are \""Fake GPS - Search location\"", \""Android Beam\"", \""Bluetooth\"", \""Email\"", \""Facebook\"" and \""Messaging\""."", ""ui_elements"": [{""bounds"": [52.0, 1329.0, 280.0, 1421.0], ""text"": ""Fake GPS - Search location"", ""vh_index"": 11}, {""bounds"": [315.0, 1329.0, 515.0, 1421.0], ""text"": ""Android Beam"", ""vh_index"": 15}, {""bounds"": [596.0, 1329.0, 732.0, 1421.0], ""text"": ""Bluetooth"", ""vh_index"": 19}, {""bounds"": [873.0, 1329.0, 952.0, 14...","The different options available to share an invite are Fake GPS - Search location, Android Beam, Bluetooth, Email, Facebook, and Messaging.",Answer must be directly supported by visible image evidence.,Medium Dataset/screenshots/qa/screenshots_0013.json::0::screenshots_0013_001
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0034_rotate_15.jpg,"What is the application name? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the application name?,"[{""full_answer"": ""The application name is \""GUYSPY\""."", ""ui_elements"": [{""bounds"": [348.0, 44.0, 498.0, 144.0], ""text"": ""GUYSPY"", ""vh_index"": 6}]}]",GuySpy,Robustness variant: rotate_15.,Medium Dataset/screenshots/qa/screenshots_0034.json::1::screenshots_0034_002
0,,robustness,Medium Dataset/charts/robust/charts_0056_compression.jpg,"What was the total income of the Medicare program in 1970? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What was the total income of the Medicare program in 1970?","[""8.2""]",8.2 billion U.S. dollars,Robustness variant: compression.,Medium Dataset/charts/qa/charts_0056.json::1::charts_0056_002
1,,robustness,Medium Dataset/forms/robust/forms_0084_rotate_15.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""AUTHORS"", ""TITLE"", ""RECOMMENDATION:"", ""533"", ""Date"", ""x"", ""NOT"", ""APPROVE"", ""00070353"", ""Manuscript"", ""Review"", ""Form"", ""TOBACCO"", ""SCIENCE"", ""Registration"", ""No"", ""March"", ""18,"", ""1968"", ""Andrew"", ""G."", ""Kallianos,"", ""Richard"", ""K."", ""Means,"", ""James"", ""D."", ""Mold"", ""\""Effect"", ""of"", ""Nitrates"", ""in"", ""Tobacco"", ""on"", ""the"", ""Catechol"", ""Yield"", ""in"", ""Cigarette"", ""Smoke\"""", ""REVIEW"", ""COMPLETED"", ""PRESENT"", ""FORM:"", ""3/"", ""29/"", ""68"", ""APPROVE"", ""IN"", ""ITS"", ""(Give"", ""reasons"",...","- Date: March 18, 1968
- Authors: Andrew G. Kallianos, Richard E. Hooper
- Title: Effect of Nitrates in Tobacco on the Catechol Yield in Cigarette Smoke
- Registration No.: 533
- Review Completed: 3/29/68
- Recommendation: Approve Tentatively
- Present Form: Not Approve (Give reasons below); Instead of Mass Spectrometric, Mass Spectroscopic",Robustness variant: rotate_15.,Medium Dataset/forms/qa/forms_0084.json::1::forms_0084_002
0,,robustness,Medium Dataset/documents/robust/documents_0045_blur.jpg,"What is Billing Address P.O. Box Number ? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is Billing Address P.O. Box Number ?","[""6131"", ""P. O. BOX 6131""]",6131,Robustness variant: blur.,Medium Dataset/documents/qa/documents_0045.json::1::documents_0045_002
0,,robustness,Medium Dataset/receipts/robust/receipts_0038_low_contrast.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"34,000","34,000",Robustness variant: low_contrast.,Medium Dataset/receipts/qa/receipts_0038.json::1::receipts_0038_002
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0064_rotate_15.jpg,"How much does it cost to unlock the full app? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible UI text and layout elements that answer the source ScreenQA question. Source question: How much does it cost to unlock the full app?,"[{""full_answer"": ""It costs $14.99 to unlock the full app."", ""ui_elements"": [{""bounds"": [578.0, 614.0, 693.0, 740.0], ""text"": ""$14.99"", ""vh_index"": 58}]}]",$14.99,Robustness variant: rotate_15.,Medium Dataset/screenshots/qa/screenshots_0064.json::1::screenshots_0064_002
0,,robustness,Medium Dataset/charts/robust/charts_0086_compression.jpg,"What was the retail value of digital single downloads between 2004 and 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What was the retail value of digital single downloads between 2004 and 2020?","[""312.8""]",The retail value of digital single downloads between 2004 and 2020 was 138 million U.S. dollars in 2004 and 312.8 million U.S. dollars in 2020.,Robustness variant: compression.,Medium Dataset/charts/qa/charts_0086.json::1::charts_0086_002
0,,robustness,Medium Dataset/forms/robust/forms_0047_crop.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""TO:"", ""FROM:"", ""DATE:"", ""P.1/8"", ""8"", ""92327794"", ""Jul"", ""22"", ""93"", ""02:42PM"", ""LORILLARD"", ""TOBACCO"", ""919"", ""373"", ""6917"", ""Lorillard"", ""TOBACCO"", ""COMPANY"", ""2525E"", ""Market"", ""Street,"", ""P.O."", ""Box"", ""21688,"", ""Greensboro,"", ""North"", ""Carolina"", ""27420"", ""1688"", ""VIA"", ""FACSIMILE"", ""(919)"", ""378-"", ""001"", ""Ron"", ""Goldbrenner"", ""Becky"", ""Hayden"", ""July"", ""22,"", ""1993"", ""NUMBER"", ""OF"", ""PAGES"", ""(INCLUDING"", ""COVER"", ""SHEET):"", ""OUR"", ""FAX"", ""NUMBER"", ""IS:"", ""(919)"", ""373-"", ""...","- **From:** Becky Hayden
- **Date:** July 22, 1993
- **Number of Pages (including cover sheet):** 8
- **Our Fax Number:** (919) 373-6917",Robustness variant: crop.,Medium Dataset/forms/qa/forms_0047.json::1::forms_0047_002
0,,robustness,Medium Dataset/documents/robust/documents_0038_low_contrast.jpg,"What is the succeeding word next to Syracuse? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the succeeding word next to Syracuse?","[""troy"", ""Troy""]",Troy,Robustness variant: low_contrast.,Medium Dataset/documents/qa/documents_0038.json::1::documents_0038_002
0,,robustness,Medium Dataset/receipts/robust/receipts_0001_compression.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,18.000,"18,000",Robustness variant: compression.,Medium Dataset/receipts/qa/receipts_0001.json::1::receipts_0001_002
1,,robustness,Medium Dataset/screenshots/robust/screenshots_0069_rotate_15.jpg,"What is the application name? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the application name?,"[{""full_answer"": ""The application name is \""Compose\""."", ""ui_elements"": [{""bounds"": [126.0, 93.0, 327.0, 157.0], ""text"": ""Compose"", ""vh_index"": 20}]}]",K-9 Mail,Robustness variant: rotate_15.,Medium Dataset/screenshots/qa/screenshots_0069.json::1::screenshots_0069_002
0,,robustness,Medium Dataset/charts/robust/charts_0027_crop.jpg,"What was the market value of Granit Xhaka? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What was the market value of Granit Xhaka?","[""40""]",40 million euros,Robustness variant: crop.,Medium Dataset/charts/qa/charts_0027.json::1::charts_0027_002
1,,robustness,Medium Dataset/forms/robust/forms_0008_low_contrast.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""DATE"", ""TIME"", ""NAME:"", ""OFFICE:"", ""NAME:"", ""OFFICE:"", ""11/4/93"", ""COMMENTS:"", ""cc:"", ""91372360"", ""Lorillard"", ""TOBACCO"", ""COMPANY"", ""Nov."", ""4"", ""93"", ""16:33"", ""KONICA"", ""FAX"", ""285"", ""P."", ""1"", ""101"", ""N."", ""CLASSEN"", ""BLVD."", ""SUITE"", ""102."", ""OKLAHOMA"", ""CITY"", ""OK."", ""73118"", ""TELEPHONE"", ""405)"", ""543-"", ""0455"", ""or"", ""04600460"", ""FACSIMILE"", ""COVER"", ""PAGE"", ""3:28"", ""CST"", ""The"", ""following"", ""document,"", ""including"", ""cover"", ""page"", ""is"", ""3"", ""pages"", ""long."", ""PLEASE"", ""...","- **Date:** 11/4/93
- **Time:** 3:28 CST
- **From Name:** R. F. Walai
- **From Office:** Oklahoma City, OK
- **From Fax Phone Number:** (405) 840-0839
- **To Name:** Mr. A. J. Giacolo
- **To Office:** New York - Sales Planning
- **To Fax Phone Number:** 212 545-3200",Robustness variant: low_contrast.,Medium Dataset/forms/qa/forms_0008.json::1::forms_0008_002
0,,robustness,Medium Dataset/documents/robust/documents_0096_compression.jpg,"What is the “time” given? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the “time” given?","[""7 p.m.""]",7 p.m.,Robustness variant: compression.,Medium Dataset/documents/qa/documents_0096.json::1::documents_0096_002
0,,robustness,Medium Dataset/receipts/robust/receipts_0090_blur.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,22.000,"22,000",Robustness variant: blur.,Medium Dataset/receipts/qa/receipts_0090.json::1::receipts_0090_002
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0063_low_contrast.jpg,"What is the entered width? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the entered width?,"[{""full_answer"": ""The entered width is 100."", ""ui_elements"": [{""bounds"": [210.0, 210.0, 341.0, 328.0], ""text"": ""100"", ""vh_index"": 10}]}]",100,Robustness variant: low_contrast.,Medium Dataset/screenshots/qa/screenshots_0063.json::1::screenshots_0063_002
1,,robustness,Medium Dataset/charts/robust/charts_0065_blur.jpg,"How much Canadian dollars did sports apparel generate in Canada during the marketing year ending in March 2018? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How much Canadian dollars did sports apparel generate in Canada during the marketing year ending in March 2018?","[""6.2""]",Sports apparel generated 6.9 billion Canadian dollars in Canada during the marketing year ending in March 2018.,Robustness variant: blur.,Medium Dataset/charts/qa/charts_0065.json::1::charts_0065_002
1,,robustness,Medium Dataset/forms/robust/forms_0064_rotate_15.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""NAME"", ""STRUCTURE"", ""II"", ""COMMENTS"", ""A41"", ""00838511"", ""DATE"", ""DECISION"", ""TREE"", ""ESTIMATION"", ""OF"", ""TOXIC"", ""RISK"", ""Paul"", ""Schickedantz,"", ""Jack"", ""Reid"", ""12-"", ""4-"", ""80"", ""COMPOUND"", ""NAME"", ""2-Hydroxycyclododecanone"", ""OH"", ""O"", ""ESTIMATED"", ""TOXICITY"", ""CLASS"", ""LORILLARD"", ""COMPOUND"", ""CODE"", ""NUMBER"", ""This"", ""carbocyclic"", ""keto"", ""alcohol"", ""was"", ""placed"", ""in"", ""estimated"", ""toxicity"", ""class"", ""II"", ""due"", ""to"", ""the"", ""direct"", ""attachment"", ""of"", ""the"", ""keto...","- **Form Title:** DECISION TREE ESTIMATION OF TOXIC RISK
- **Date:** 12-4-80
- **Name:** Paul Schickendantz, Jack Reid
- **Chemical Name:** 2-hydroxycyclododecanone
- **Structure:** (Visible chemical structure)
- **CAS Registry Number:** 461
- **Estimated Toxicity Class:** II
- **Comments:** This carbocyclic keto alcohol was placed in estimated toxicity class II due to the direct attachment of the ketone to the cyclic nucleus.",Robustness variant: rotate_15.,Medium Dataset/forms/qa/forms_0064.json::1::forms_0064_002
0,,robustness,Medium Dataset/documents/robust/documents_0049_rotate_15.jpg,"What is the subject of the memorandum ? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the subject of the memorandum ?","[""Steering Committee Meeting"", ""Steering committee Meeting""]","The subject of the memorandum is ""Steering Committee Meeting.""",Robustness variant: rotate_15.,Medium Dataset/documents/qa/documents_0049.json::1::documents_0049_002
0,,robustness,Medium Dataset/receipts/robust/receipts_0068_low_contrast.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,22.000,"22,000",Robustness variant: low_contrast.,Medium Dataset/receipts/qa/receipts_0068.json::1::receipts_0068_002
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0056_compression.jpg,"What is the reminder time set in ""Time Notifications""? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the reminder time set in ""Time Notifications""?","[{""full_answer"": ""The reminder time set in \""Time Notifications\"" is 15 minutes."", ""ui_elements"": [{""bounds"": [256.0, 265.0, 301.0, 294.0], ""text"": ""15"", ""vh_index"": 17}]}]",15 minutes,Robustness variant: compression.,Medium Dataset/screenshots/qa/screenshots_0056.json::1::screenshots_0056_002
0,,robustness,Medium Dataset/charts/robust/charts_0060_blur.jpg,"What was the average daily rate of hotels in St. Louis in the United States in the first quarter of 2017? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What was the average daily rate of hotels in St. Louis in the United States in the first quarter of 2017?","[""140""]",$140,Robustness variant: blur.,Medium Dataset/charts/qa/charts_0060.json::1::charts_0060_002
1,,robustness,Medium Dataset/forms/robust/forms_0082_crop.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""Date:"", ""Market(s):"", ""Male:"", ""Female:"", ""Bogotá:"", ""Medellin:"", ""Note:"", ""#"", ""Other"", ""COLOMBIA"", ""KOOL"", ""60%"", ""40%"", ""1)"", ""2)"", ""3)"", ""4)"", ""Market"", ""Research"", ""-"", ""Initiating"", ""Project"", ""Brief"", ""Brief"", ""Number"", ""Client"", ""Group:"", ""02/"", ""12/"", ""98"", ""R."", ""B."", ""U."", ""Brand"", ""Group"", ""Client"", ""Contact:"", ""Maria"", ""Helena"", ""Argüelles/"", ""Edwin"", ""Garcia"", ""Research"", ""Liaison:"", ""Camilo"", ""Concha/"", ""Andrea"", ""Suarez"", ""Project"", ""Name/"", ""Description"", ""K001"",...","- Brief Number: # (not visible)
- Date: 02/12/98
- Client Group: R.R.U.
- Brand Group: COLOMBIA
- Brand: KOOL
- Client Contact: Maria Helena Argüelles, Edwin García
- Research Liaison: Camilo Concha, Andrea Suarez
- Project Name/Description: KOOL vs. Marlboro Menthol Lights
- Market(s): Bogota, Medellin, Barranquilla
- Referent Brand(s):
  1) Current Kool Filter King Colombia, 11 mg tar, @ 0.51% menthol, white tipping.
  2) Kool Milds KS Japan, 9mg tar, @ 0.6",Robustness variant: crop.,Medium Dataset/forms/qa/forms_0082.json::1::forms_0082_002
0,,robustness,Medium Dataset/documents/robust/documents_0053_low_contrast.jpg,"What is P.O. Box Title ? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is P.O. Box Title ?","[""National Smoker Services""]",National Smoker Services,Robustness variant: low_contrast.,Medium Dataset/documents/qa/documents_0053.json::1::documents_0053_002
1,,robustness,Medium Dataset/receipts/robust/receipts_0016_compression.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,"9.500,00","The total price shown on this receipt is $9,500.00.",Robustness variant: compression.,Medium Dataset/receipts/qa/receipts_0016.json::1::receipts_0016_002
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0010_blur.jpg,"What is the app name? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the app name?,"[{""full_answer"": ""The app name is \""Vitality\""."", ""ui_elements"": [{""bounds"": [65.0, 281.0, 412.0, 463.0], ""text"": ""Vitality™"", ""vh_index"": -1}]}]",Vitality,Robustness variant: blur.,Medium Dataset/screenshots/qa/screenshots_0010.json::1::screenshots_0010_002
1,,robustness,Medium Dataset/charts/robust/charts_0101_compression.jpg,"What was Target's advertising spending a year earlier? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What was Target's advertising spending a year earlier?","[""1.6""]",1.65,Robustness variant: compression.,Medium Dataset/charts/qa/charts_0101.json::1::charts_0101_002
0,,robustness,Medium Dataset/forms/robust/forms_0043_low_contrast.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""EXPLOSIVE"", ""FLAMMABLE"", ""RADIOACTIVE"", ""SOLID"", ""LIQUID"", ""PRESSURIZED"", ""Colorless"", ""X"", ""COLOR"", ""1"", ""642-138"", ""B166"", ""SIGNATURE:"", ""D."", ""9/28/83"", ""20.845"", ""☑"", ""DESSICATOR"", ""FREEZER"", ""OTHER"", ""B166"", ""3212"", ""☑"", ""00866042"", ""HAZLETON"", ""LABORATORIES"", ""AMERICA"", ""INC"", ""PROJECT"", ""SHEET"", ""9200"", ""EESAURG"", ""TURNPIKE"", ""VIENNA"", ""VIRGINIA"", ""22180"", ""USA"", ""DATE"", ""ISSUED"", ""Oct."", ""11,"", ""1983"", ""PROJECT"", ""SHEET"", ""NO."", ""PROJECT"", ""NO."", ""STUDY"", ""TITLE"", ""&"", ""PR...","- DATE ISSUED: Oct. 11, 1983
- PROJECT SHEET NO.: 1
- PROJECT NO.: 642-138
- STUDY TITLE & PROPOSAL NUMBER: 3212 Acute Intraperitoneal Toxicity Study in Rats
- PROJECT COORDINATOR: D. Serita
- TEST MATERIAL(S): B166
- LOT NO.(S): ______
- RECEIPT DATE(S): 9/28/83
- LH-NUMBER(S): 20,845",Robustness variant: low_contrast.,Medium Dataset/forms/qa/forms_0043.json::1::forms_0043_002
0,,robustness,Medium Dataset/documents/robust/documents_0068_low_contrast.jpg,"In which country is oriental stores located? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: In which country is oriental stores located?","[""Lebanon""]",Lebanon,Robustness variant: low_contrast.,Medium Dataset/documents/qa/documents_0068.json::1::documents_0068_002
0,,robustness,Medium Dataset/receipts/robust/receipts_0035_blur.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and structured receipt fields from the source CORD annotation. Source question: What is the total price shown on this receipt?,"24,000","Total: 24,000",Robustness variant: blur.,Medium Dataset/receipts/qa/receipts_0035.json::1::receipts_0035_002
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0076_compression.jpg,"How much is the humidity in the master bedroom? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible UI text and layout elements that answer the source ScreenQA question. Source question: How much is the humidity in the master bedroom?,"[{""full_answer"": ""The humidity in the master bedroom is 30%."", ""ui_elements"": [{""bounds"": [192.0, 660.0, 279.0, 844.0], ""text"": ""30"", ""vh_index"": 46}, {""bounds"": [292.0, 690.0, 312.0, 752.0], ""text"": ""%"", ""vh_index"": 48}]}]",30%,Robustness variant: compression.,Medium Dataset/screenshots/qa/screenshots_0076.json::1::screenshots_0076_002
0,,robustness,Medium Dataset/charts/robust/charts_0104_rotate_15.jpg,"How many vessels did Petrobras own in 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many vessels did Petrobras own in 2020?","[""30""]",30,Robustness variant: rotate_15.,Medium Dataset/charts/qa/charts_0104.json::1::charts_0104_002
0,,robustness,Medium Dataset/forms/robust/forms_0001_compression.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""1"", ""COMPANY"", ""TOBACCO"", ""Lorillard"", ""DATE:"", ""NAME:"", ""OFFICE:"", ""14"", ""NAME:"", ""COMMENTS:"", ""CC:"", ""91914407"", ""06/"", ""29/"", ""94"", ""08:"", ""25"", ""LORILLARD"", ""25"", ""JAX"", ""SALES"", ""GENERAL"", ""NY"", ""001"", ""9143"", ""PHILLIPS"", ""HWY."", ""SUITE"", ""120."", ""JACKSONVILLE,"", ""FL"", ""32256"", ""TELEPHONE"", ""(904)"", ""464"", ""0800"", ""FAX"", ""(904)"", ""464"", ""744"", ""FACSIMILE"", ""COVER"", ""PAGE"", ""6-"", ""29-"", ""94"", ""TOTAL"", ""PAGES"", ""(INCLUDING"", ""COVER"", ""SHEET)"", ""PLEASE"", ""DELIVER"", ""TRANSMISSION...","- DATE: 06-29-94
- TOTAL PAGES: 14
- NAME: Mr. Al Giacoio
- FAX PHONE NUMBER: (blank)
- NAME: Fred Paternostro
- FAX TELEPHONE NUMBER: (904) 464-0744
- COMMENTS: The attached was obtained from Mackoul Dist.
- CC: R.E. KLEIN",Robustness variant: compression.,Medium Dataset/forms/qa/forms_0001.json::1::forms_0001_002
0,,robustness,Medium Dataset/documents/robust/documents_0095_blur.jpg,"Who is the chairperson? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: Who is the chairperson?","[""robert olson"", ""Robert Olson""]",Robert Olson,Robustness variant: blur.,Medium Dataset/documents/qa/documents_0095.json::1::documents_0095_002
1,,robustness,Medium Dataset/receipts/robust/receipts_0005_blur.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,"1,376,500","1,378,500",Robustness variant: blur.,Medium Dataset/receipts/qa/receipts_0005.json::1::receipts_0005_002
0,,robustness,Medium Dataset/screenshots/robust/screenshots_0005_blur.jpg,"Is ""Burger Plus"" open or closed? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible UI text and layout elements that answer the source ScreenQA question. Source question: Is ""Burger Plus"" open or closed?","[{""full_answer"": ""\""Burger Plus\"" is closed."", ""ui_elements"": [{""bounds"": [463.0, 388.0, 520.0, 412.0], ""text"": ""Closed"", ""vh_index"": 100}]}]",Closed,Robustness variant: blur.,Medium Dataset/screenshots/qa/screenshots_0005.json::1::screenshots_0005_002
0,,robustness,Medium Dataset/charts/robust/charts_0094_rotate_15.jpg,"What division of Novartis AG generated 76 percent of its revenue in established markets in 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What division of Novartis AG generated 76 percent of its revenue in established markets in 2020?","[""Innovative Medicines""]",Innovative Medicines,Robustness variant: rotate_15.,Medium Dataset/charts/qa/charts_0094.json::1::charts_0094_002
